,TUCASEID,TEWHERE,TUACTDUR,PEEDUCA,PTDTRACE,TRCHILDNUM,TRSPPRES,TRDPFTPT,TEAGE,TESEX,TEIO1COW,TUDIARYDAY,Telecommuting,Education,Race,NumChild,Married,Gender,Fulltime
419,20030112022762,2,470,39,1,1,3,1,25,2,4,3,0,1,0,1,1,1,1
420,20030112022775,2,525,43,1,1,3,1,45,2,4,4,0,3,0,1,1,1,1
421,20030112022779,2,615,39,1,3,1,1,34,1,4,4,0,1,0,3,0,0,1
422,20030112022782,2,383,43,1,1,1,2,47,2,4,2,0,3,0,1,0,1,0
423,20030112022783,2,490,44,1,0,1,1,46,1,4,2,0,4,0,0,0,0,1
425,20030112022810,2,225,39,2,1,1,2,39,2,4,5,0,1,1,1,0,1,0
427,20030112022836,2,480,40,1,1,1,1,32,1,4,5,0,2,0,1,0,0,1
429,20030112022844,2,510,39,1,2,3,1,35,2,4,3,0,1,0,2,1,1,1
430,20030112022862,2,510,43,2,1,2,1,47,1,4,3,0,3,1,1,1,0,1
432,20030112022879,2,435,44,1,1,1,1,39,2,3,2,0,4,0,1,0,1,1
436,20030112022946,2,630,40,1,1,1,1,49,1,4,2,0,2,0,1,0,0,1
438,20030112022965,2,600,39,1,1,1,1,50,2,4,4,0,1,0,1,0,1,1
439,20030112022968,2,500,44,1,2,1,1,33,2,2,4,0,4,0,2,0,1,1
440,20030112022974,2,455,39,1,0,3,1,54,1,4,6,0,1,0,0,1,0,1
442,20030112022985,2,560,39,1,2,1,1,29,1,4,2,0,1,0,2,0,0,1
444,20030112022997,2,525,39,1,1,3,1,37,1,4,3,0,1,0,1,1,0,1
446,20030112023013,2,480,39,1,0,1,2,29,1,4,2,0,1,0,0,0,0,0
447,20030112023020,2,450,39,1,2,1,1,34,1,4,5,0,1,0,2,0,0,1
448,20030112023025,2,380,40,1,1,3,1,39,2,4,6,0,2,0,1,1,1,1
449,20030112023026,2,295,39,1,0,3,1,35,1,4,3,0,1,0,0,1,0,1
450,20030112023031,2,421,43,1,2,1,1,39,1,2,5,0,3,0,2,0,0,1
451,20030112023032,2,225,41,1,1,1,1,32,1,4,6,0,2,0,1,0,0,1
453,20030112023066,2,400,39,1,2,1,1,42,1,1,2,0,1,0,2,0,0,1
454,20030112023084,2,480,39,4,0,3,1,50,2,4,2,0,1,2,0,1,1,1
457,20030112023127,2,515,39,1,0,3,1,42,1,4,5,0,1,0,0,1,0,1
458,20030112023128,2,445,44,1,0,1,1,51,2,3,5,0,4,0,0,0,1,1
459,20030112023136,2,440,39,1,0,3,1,57,2,4,3,0,1,0,0,1,1,1
460,20030112023165,2,705,39,2,2,1,1,41,1,4,6,0,1,1,2,0,0,1
461,20030112023167,2,480,44,1,1,1,1,52,2,2,6,0,4,0,1,0,1,1
462,20030112023173,2,625,39,1,1,3,1,21,2,4,5,0,1,0,1,1,1,1
463,20030112023183,2,538,39,1,0,1,1,47,2,4,2,0,1,0,0,0,1,1
465,20030112023194,2,630,39,2,0,1,1,51,1,4,6,0,1,1,0,0,0,1
467,20030112023197,2,450,39,1,0,1,1,52,1,4,6,0,1,0,0,0,0,1
468,20030112023204,2,473,39,1,2,2,1,28,2,4,2,0,1,0,2,1,1,1
469,20030112023217,2,458,40,1,0,3,1,50,2,4,2,0,2,0,0,1,1,1
